stk_flow,waste,unit,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
EXP,MT_FER,THS_EUR,UK	: 	2305997 	2681422 	2534444 	1811884 	1958615 	2146765 	2214691 	2599430 	2795147 	2266504 	1328812 	2363924 	2097324 	1751270 	1369657 	1486006 
EXP,MT_PRE,T,AT	134 	26 	141 	47 	27 	48 	161 	106 	323 	61 	16 	215 	262 	599 	545 	576 	501 
EXP,MT_PRE,T,BE	4746 	3355 	3315 	1760 	3172 	8343 	10331 	1298 	2307 	1145 	1077 	410 	784 	8141 	2650 	1390 	2430 
EXP,MT_PRE,T,BG	90 	62 	131 	28 	4 	0 	0 	1 	467 	1577 	1230 	1250 	835 	769 	441 	408 	0 
EXP,MT_PRE,T,CY	0 	82 	179 	37 	42 	14 	0 	5 	1 	87 	104 	0 	153 	7 	4 	0 	4 
EXP,MT_PRE,T,CZ	6343 	5840 	5074 	3940 	3840 	3098 	2702 	3304 	4300 	4018 	1047 	927 	1006 	865 	589 	487 	544 
EXP,MT_PRE,T,DE	60909 	64521 	65643 	63641 	61242 	52067 	53590 	46403 	48133 	31552 	30907 	25116 	35085 	32112 	23070 	12296 	14770 
EXP,MT_PRE,T,DK	12 	15 	37 	5 	70 	71 	4 	18 	13 	49 	2 	91 	22 	55 	294 	10120 	114 
EXP,MT_PRE,T,EE	791 	739 	1015 	785 	772 	558 	435 	278 	252 	235 	122 	70 	124 	54 	79 	86 	140 
EXP,MT_PRE,T,EL	37 	3 	5 	14 	1 	46 	69 	7 	18 	0 	0 	0 	3 	92 	0 	0 	66 
EXP,MT_PRE,T,ES	3045 	3483 	2462 	1443 	4681 	6010 	1352 	851 	243 	438 	600 	498 	525 	516 	368 	590 	139 
EXP,MT_PRE,T,EU27_2020	58168 d	56957 d	41033 d	30172 d	24893 d	22778 d	86121 d	13796 d	14463 d	11097 d	13892 d	10519 d	18957 d	19070 d	11820 d	14262 d	7310 d
EXP,MT_PRE,T,EU28	: 	60169 d	39568 d	28539 d	24796 d	23365 d	13752 d	11896 d	10395 d	10791 d	11264 d	12603 d	16169 d	21668 d	13686 d	7324 d	7632 d
EXP,MT_PRE,T,FI	4074 	4001 	4966 	4131 	4060 	3270 	4763 	4312 	3915 	1696 	532 	724 	1624 	391 	665 	698 	300 
EXP,MT_PRE,T,FR	2409 	2258 	2772 	3312 	2525 	1283 	1061 	1317 	1193 	3381 	1487 	1390 	1376 	1090 	1066 	1118 	1073 
EXP,MT_PRE,T,HR	56 	47 	63 	10 	9 	11 	18 	71 	49 	42 	54 	45 	27 	34 	32 	80 	74 
EXP,MT_PRE,T,HU	1879 	4268 	1305 	601 	418 	206 	56 	3358 	2275 	2809 	2368 	169 	286 	89 	119 	121 	0 
EXP,MT_PRE,T,IE	3780 	3911 	5292 	5155 	5713 	5123 	4321 	3445 	2721 	2059 	5128 	3551 	6393 	1434 	554 	172 	144 
EXP,MT_PRE,T,IT	4676 	4604 	4110 	4843 	4960 	3966 	4870 	1218 	4326 	1664 	1427 	902 	460 	648 	614 	80 	27 
EXP,MT_PRE,T,LT	6037 	5893 	4400 	2873 	3323 	2515 	1475 	1211 	1069 	1068 	626 	552 	674 	795 	523 	406 	417 
EXP,MT_PRE,T,LU	455 	177 	232 	63 	0 	1 	3 	1670 	1 	16 	8 	25 	0 	0 	0 	3 	0 
EXP,MT_PRE,T,LV	328 	371 	197 	217 	14 	4 	26 	3 	25 	16 	3 	16 	68 	96 	164 	45 	100 
EXP,MT_PRE,T,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 	27 	19 	0 	0 	0 	1 	1 	3 
EXP,MT_PRE,T,NL	37226 	59322 	46491 	26709 	23878 	5144 	71807 	1067 	1673 	3829 	685 	636 	1989 	315 	545 	2342 	3893 
EXP,MT_PRE,T,PL	4704 	4747 	2316 	2866 	2406 	1730 	1651 	1319 	751 	595 	686 	572 	626 	451 	262 	163 	111 
